image_path,split,label_path
images\train\0000085_00399_d_0000009.jpg,train,labels\train\0000085_00399_d_0000009.txt
images\train\0000099_00149_d_0000001.jpg,train,labels\train\0000099_00149_d_0000001.txt
images\train\0000099_00508_d_0000002.jpg,train,labels\train\0000099_00508_d_0000002.txt
images\train\0000099_00997_d_0000003.jpg,train,labels\train\0000099_00997_d_0000003.txt
images\train\0000099_02362_d_0000005.jpg,train,labels\train\0000099_02362_d_0000005.txt
images\train\0000099_02798_d_0000006.jpg,train,labels\train\0000099_02798_d_0000006.txt
images\train\0000099_03156_d_0000007.jpg,train,labels\train\0000099_03156_d_0000007.txt
images\train\0000099_03508_d_0000008.jpg,train,labels\train\0000099_03508_d_0000008.txt
images\train\0000099_03930_d_0000009.jpg,train,labels\train\0000099_03930_d_0000009.txt
images\train\0000099_04272_d_0000010.jpg,train,labels\train\0000099_04272_d_0000010.txt
images\train\0000100_02616_d_0000012.jpg,train,labels\train\0000100_02616_d_0000012.txt
images\train\0000100_03057_d_0000013.jpg,train,labels\train\0000100_03057_d_0000013.txt
images\train\0000100_03906_d_0000014.jpg,train,labels\train\0000100_03906_d_0000014.txt
images\train\0000100_04584_d_0000015.jpg,train,labels\train\0000100_04584_d_0000015.txt
images\train\0000101_00228_d_0000016.jpg,train,labels\train\0000101_00228_d_0000016.txt
images\train\0000101_01189_d_0000017.jpg,train,labels\train\0000101_01189_d_0000017.txt
images\train\0000101_01577_d_0000018.jpg,train,labels\train\0000101_01577_d_0000018.txt
images\train\0000101_02927_d_0000019.jpg,train,labels\train\0000101_02927_d_0000019.txt
images\train\0000101_03804_d_0000020.jpg,train,labels\train\0000101_03804_d_0000020.txt
images\train\0000101_04436_d_0000021.jpg,train,labels\train\0000101_04436_d_0000021.txt
images\train\0000102_00192_d_0000022.jpg,train,labels\train\0000102_00192_d_0000022.txt
images\train\0000102_00919_d_0000023.jpg,train,labels\train\0000102_00919_d_0000023.txt
images\train\0000102_02749_d_0000024.jpg,train,labels\train\0000102_02749_d_0000024.txt
images\train\0000106_00294_d_0000048.jpg,train,labels\train\0000106_00294_d_0000048.txt
images\train\0000106_00458_d_0000049.jpg,train,labels\train\0000106_00458_d_0000049.txt
images\train\0000107_00001_d_0000051.jpg,train,labels\train\0000107_00001_d_0000051.txt
images\train\0000107_00891_d_0000052.jpg,train,labels\train\0000107_00891_d_0000052.txt
images\train\0000107_01998_d_0000054.jpg,train,labels\train\0000107_01998_d_0000054.txt
images\train\0000107_02196_d_0000055.jpg,train,labels\train\0000107_02196_d_0000055.txt
images\train\0000107_02574_d_0000056.jpg,train,labels\train\0000107_02574_d_0000056.txt
images\train\0000109_00228_d_0000061.jpg,train,labels\train\0000109_00228_d_0000061.txt
images\train\0000109_01140_d_0000063.jpg,train,labels\train\0000109_01140_d_0000063.txt
images\train\0000109_03179_d_0000064.jpg,train,labels\train\0000109_03179_d_0000064.txt
images\train\0000110_02718_d_0000067.jpg,train,labels\train\0000110_02718_d_0000067.txt
images\train\0000110_03192_d_0000068.jpg,train,labels\train\0000110_03192_d_0000068.txt
images\train\0000110_03450_d_0000069.jpg,train,labels\train\0000110_03450_d_0000069.txt
images\train\0000111_00018_d_0000070.jpg,train,labels\train\0000111_00018_d_0000070.txt
images\train\0000111_01459_d_0000071.jpg,train,labels\train\0000111_01459_d_0000071.txt
images\train\0000111_03678_d_0000072.jpg,train,labels\train\0000111_03678_d_0000072.txt
images\train\0000111_04511_d_0000073.jpg,train,labels\train\0000111_04511_d_0000073.txt
images\train\0000112_01120_d_0000074.jpg,train,labels\train\0000112_01120_d_0000074.txt
images\train\0000113_00064_d_0000075.jpg,train,labels\train\0000113_00064_d_0000075.txt
images\train\0000113_00814_d_0000076.jpg,train,labels\train\0000113_00814_d_0000076.txt
images\train\0000113_01528_d_0000077.jpg,train,labels\train\0000113_01528_d_0000077.txt
images\train\0000113_02012_d_0000078.jpg,train,labels\train\0000113_02012_d_0000078.txt
images\train\0000114_00461_d_0000079.jpg,train,labels\train\0000114_00461_d_0000079.txt
images\train\0000123_01819_d_0000120.jpg,train,labels\train\0000123_01819_d_0000120.txt
images\train\0000124_02088_d_0000121.jpg,train,labels\train\0000124_02088_d_0000121.txt
images\train\0000125_00084_d_0000122.jpg,train,labels\train\0000125_00084_d_0000122.txt
images\train\0000126_00054_d_0000124.jpg,train,labels\train\0000126_00054_d_0000124.txt
images\train\0000126_02406_d_0000126.jpg,train,labels\train\0000126_02406_d_0000126.txt
images\train\0000126_02904_d_0000127.jpg,train,labels\train\0000126_02904_d_0000127.txt
images\train\0000126_03828_d_0000129.jpg,train,labels\train\0000126_03828_d_0000129.txt
images\train\0000126_11844_d_0000130.jpg,train,labels\train\0000126_11844_d_0000130.txt
images\train\0000130_01308_d_0000139.jpg,train,labels\train\0000130_01308_d_0000139.txt
images\train\0000132_01903_d_0000140.jpg,train,labels\train\0000132_01903_d_0000140.txt
images\train\0000133_00846_d_0000143.jpg,train,labels\train\0000133_00846_d_0000143.txt
images\train\0000133_01764_d_0000144.jpg,train,labels\train\0000133_01764_d_0000144.txt
images\train\0000134_00858_d_0000145.jpg,train,labels\train\0000134_00858_d_0000145.txt
images\train\0000134_01332_d_0000146.jpg,train,labels\train\0000134_01332_d_0000146.txt
images\train\0000134_01791_d_0000147.jpg,train,labels\train\0000134_01791_d_0000147.txt
images\train\0000134_02166_d_0000148.jpg,train,labels\train\0000134_02166_d_0000148.txt
images\train\0000135_00118_d_0000149.jpg,train,labels\train\0000135_00118_d_0000149.txt
images\train\0000135_00828_d_0000150.jpg,train,labels\train\0000135_00828_d_0000150.txt
images\train\0000135_01327_d_0000151.jpg,train,labels\train\0000135_01327_d_0000151.txt
images\train\0000135_01638_d_0000152.jpg,train,labels\train\0000135_01638_d_0000152.txt
images\train\0000135_01896_d_0000153.jpg,train,labels\train\0000135_01896_d_0000153.txt
images\train\0000136_00162_d_0000154.jpg,train,labels\train\0000136_00162_d_0000154.txt
images\train\0000136_00456_d_0000155.jpg,train,labels\train\0000136_00456_d_0000155.txt
images\train\0000136_00900_d_0000156.jpg,train,labels\train\0000136_00900_d_0000156.txt
images\train\0000136_01783_d_0000157.jpg,train,labels\train\0000136_01783_d_0000157.txt
images\train\0000136_02529_d_0000158.jpg,train,labels\train\0000136_02529_d_0000158.txt
images\train\0000137_00509_d_0000159.jpg,train,labels\train\0000137_00509_d_0000159.txt
images\train\0000137_01372_d_0000161.jpg,train,labels\train\0000137_01372_d_0000161.txt
images\train\0000137_01824_d_0000162.jpg,train,labels\train\0000137_01824_d_0000162.txt
images\train\0000137_02220_d_0000163.jpg,train,labels\train\0000137_02220_d_0000163.txt
images\train\0000139_00012_d_0000001.jpg,train,labels\train\0000139_00012_d_0000001.txt
images\train\0000140_00118_d_0000002.jpg,train,labels\train\0000140_00118_d_0000002.txt
images\train\0000140_02477_d_0000006.jpg,train,labels\train\0000140_02477_d_0000006.txt
images\train\0000140_02677_d_0000007.jpg,train,labels\train\0000140_02677_d_0000007.txt
images\train\0000141_00251_d_0000009.jpg,train,labels\train\0000141_00251_d_0000009.txt
images\train\0000141_00651_d_0000011.jpg,train,labels\train\0000141_00651_d_0000011.txt
images\train\0000141_00851_d_0000012.jpg,train,labels\train\0000141_00851_d_0000012.txt
images\train\0000141_01851_d_0000017.jpg,train,labels\train\0000141_01851_d_0000017.txt
images\train\0000141_02051_d_0000018.jpg,train,labels\train\0000141_02051_d_0000018.txt
images\train\0000141_02251_d_0000019.jpg,train,labels\train\0000141_02251_d_0000019.txt
images\train\0000141_02651_d_0000021.jpg,train,labels\train\0000141_02651_d_0000021.txt
images\train\0000142_00058_d_0000023.jpg,train,labels\train\0000142_00058_d_0000023.txt
images\train\0000142_00258_d_0000024.jpg,train,labels\train\0000142_00258_d_0000024.txt
images\train\0000142_00858_d_0000027.jpg,train,labels\train\0000142_00858_d_0000027.txt
images\train\0000142_01258_d_0000029.jpg,train,labels\train\0000142_01258_d_0000029.txt
images\train\0000142_01458_d_0000030.jpg,train,labels\train\0000142_01458_d_0000030.txt
images\train\0000142_02058_d_0000033.jpg,train,labels\train\0000142_02058_d_0000033.txt
images\train\0000142_02258_d_0000034.jpg,train,labels\train\0000142_02258_d_0000034.txt
images\train\0000142_02658_d_0000036.jpg,train,labels\train\0000142_02658_d_0000036.txt
images\train\0000142_02858_d_0000037.jpg,train,labels\train\0000142_02858_d_0000037.txt
images\train\0000142_03058_d_0000038.jpg,train,labels\train\0000142_03058_d_0000038.txt
images\train\0000142_03458_d_0000040.jpg,train,labels\train\0000142_03458_d_0000040.txt
images\train\0000142_03658_d_0000041.jpg,train,labels\train\0000142_03658_d_0000041.txt
images\train\0000142_04058_d_0000043.jpg,train,labels\train\0000142_04058_d_0000043.txt
images\train\0000142_04458_d_0000045.jpg,train,labels\train\0000142_04458_d_0000045.txt
images\train\0000142_04658_d_0000046.jpg,train,labels\train\0000142_04658_d_0000046.txt
images\train\0000142_04858_d_0000047.jpg,train,labels\train\0000142_04858_d_0000047.txt
images\train\0000143_00281_d_0000049.jpg,train,labels\train\0000143_00281_d_0000049.txt
images\train\0000143_00481_d_0000050.jpg,train,labels\train\0000143_00481_d_0000050.txt
images\train\0000143_00681_d_0000051.jpg,train,labels\train\0000143_00681_d_0000051.txt
images\train\0000143_00881_d_0000052.jpg,train,labels\train\0000143_00881_d_0000052.txt
images\train\0000143_01281_d_0000054.jpg,train,labels\train\0000143_01281_d_0000054.txt
images\train\0000143_01481_d_0000055.jpg,train,labels\train\0000143_01481_d_0000055.txt
images\train\0000143_01681_d_0000056.jpg,train,labels\train\0000143_01681_d_0000056.txt
images\train\0000144_00001_d_0000001.jpg,train,labels\train\0000144_00001_d_0000001.txt
images\train\0000144_00848_d_0000001.jpg,train,labels\train\0000144_00848_d_0000001.txt
images\train\0000144_01201_d_0000001.jpg,train,labels\train\0000144_01201_d_0000001.txt
images\train\0000144_01601_d_0000001.jpg,train,labels\train\0000144_01601_d_0000001.txt
images\train\0000144_02001_d_0000001.jpg,train,labels\train\0000144_02001_d_0000001.txt
images\train\0000144_02801_d_0000001.jpg,train,labels\train\0000144_02801_d_0000001.txt
images\train\0000144_03201_d_0000001.jpg,train,labels\train\0000144_03201_d_0000001.txt
images\train\0000144_03776_d_0000001.jpg,train,labels\train\0000144_03776_d_0000001.txt
images\train\0000144_04192_d_0000001.jpg,train,labels\train\0000144_04192_d_0000001.txt
images\train\0000145_00001_d_0000001.jpg,train,labels\train\0000145_00001_d_0000001.txt
images\train\0000145_00401_d_0000001.jpg,train,labels\train\0000145_00401_d_0000001.txt
images\train\0000146_00001_d_0000057.jpg,train,labels\train\0000146_00001_d_0000057.txt
images\train\0000146_00801_d_0000061.jpg,train,labels\train\0000146_00801_d_0000061.txt
images\train\0000146_01678_d_0000066.jpg,train,labels\train\0000146_01678_d_0000066.txt
images\train\0000150_00230_d_0000068.jpg,train,labels\train\0000150_00230_d_0000068.txt
images\train\0000150_00430_d_0000069.jpg,train,labels\train\0000150_00430_d_0000069.txt
images\train\0000150_00630_d_0000070.jpg,train,labels\train\0000150_00630_d_0000070.txt
images\train\0000150_00830_d_0000071.jpg,train,labels\train\0000150_00830_d_0000071.txt
images\train\0000150_01030_d_0000072.jpg,train,labels\train\0000150_01030_d_0000072.txt
images\train\0000150_01230_d_0000073.jpg,train,labels\train\0000150_01230_d_0000073.txt
images\train\0000150_01630_d_0000075.jpg,train,labels\train\0000150_01630_d_0000075.txt
images\train\0000156_00154_d_0000077.jpg,train,labels\train\0000156_00154_d_0000077.txt
images\train\0000156_00354_d_0000078.jpg,train,labels\train\0000156_00354_d_0000078.txt
images\train\0000156_00554_d_0000079.jpg,train,labels\train\0000156_00554_d_0000079.txt
images\train\0000157_00251_d_0000081.jpg,train,labels\train\0000157_00251_d_0000081.txt
images\train\0000157_00451_d_0000082.jpg,train,labels\train\0000157_00451_d_0000082.txt
images\train\0000157_00651_d_0000083.jpg,train,labels\train\0000157_00651_d_0000083.txt
images\train\0000165_00125_d_0000084.jpg,train,labels\train\0000165_00125_d_0000084.txt
images\train\0000165_00525_d_0000086.jpg,train,labels\train\0000165_00525_d_0000086.txt
images\train\0000165_00725_d_0000087.jpg,train,labels\train\0000165_00725_d_0000087.txt
images\train\0000165_01525_d_0000091.jpg,train,labels\train\0000165_01525_d_0000091.txt
images\train\0000165_01725_d_0000092.jpg,train,labels\train\0000165_01725_d_0000092.txt
images\train\0000165_02125_d_0000094.jpg,train,labels\train\0000165_02125_d_0000094.txt
images\train\0000165_02725_d_0000097.jpg,train,labels\train\0000165_02725_d_0000097.txt
images\train\0000165_03325_d_0000100.jpg,train,labels\train\0000165_03325_d_0000100.txt
images\train\0000165_03725_d_0000102.jpg,train,labels\train\0000165_03725_d_0000102.txt
images\train\0000165_03926_d_0000103.jpg,train,labels\train\0000165_03926_d_0000103.txt
images\train\0000165_04125_d_0000104.jpg,train,labels\train\0000165_04125_d_0000104.txt
images\train\0000165_04525_d_0000106.jpg,train,labels\train\0000165_04525_d_0000106.txt
images\train\0000165_04925_d_0000108.jpg,train,labels\train\0000165_04925_d_0000108.txt
images\train\0000165_05125_d_0000109.jpg,train,labels\train\0000165_05125_d_0000109.txt
images\train\0000165_05325_d_0000110.jpg,train,labels\train\0000165_05325_d_0000110.txt
images\train\0000165_05725_d_0000112.jpg,train,labels\train\0000165_05725_d_0000112.txt
images\train\0000165_05925_d_0000113.jpg,train,labels\train\0000165_05925_d_0000113.txt
images\train\0000165_06125_d_0000114.jpg,train,labels\train\0000165_06125_d_0000114.txt
images\train\0000165_06325_d_0000115.jpg,train,labels\train\0000165_06325_d_0000115.txt
images\train\0000166_00158_d_0000116.jpg,train,labels\train\0000166_00158_d_0000116.txt
images\train\0000166_00358_d_0000117.jpg,train,labels\train\0000166_00358_d_0000117.txt
images\train\0000166_01158_d_0000121.jpg,train,labels\train\0000166_01158_d_0000121.txt
images\train\0000166_01558_d_0000123.jpg,train,labels\train\0000166_01558_d_0000123.txt
images\train\0000167_00184_d_0000125.jpg,train,labels\train\0000167_00184_d_0000125.txt
images\train\0000167_00384_d_0000126.jpg,train,labels\train\0000167_00384_d_0000126.txt
images\train\0000167_00584_d_0000127.jpg,train,labels\train\0000167_00584_d_0000127.txt
images\train\0000167_00784_d_0000128.jpg,train,labels\train\0000167_00784_d_0000128.txt
images\train\0000167_00984_d_0000129.jpg,train,labels\train\0000167_00984_d_0000129.txt
images\train\0000167_01184_d_0000130.jpg,train,labels\train\0000167_01184_d_0000130.txt
images\train\0000167_01784_d_0000133.jpg,train,labels\train\0000167_01784_d_0000133.txt
images\train\0000167_02184_d_0000135.jpg,train,labels\train\0000167_02184_d_0000135.txt
images\train\0000169_00001_d_0000001.jpg,train,labels\train\0000169_00001_d_0000001.txt
images\train\0000169_00401_d_0000001.jpg,train,labels\train\0000169_00401_d_0000001.txt
images\train\0000169_00654_d_0000001.jpg,train,labels\train\0000169_00654_d_0000001.txt
images\train\0000170_00001_d_0000001.jpg,train,labels\train\0000170_00001_d_0000001.txt
images\train\0000170_00401_d_0000001.jpg,train,labels\train\0000170_00401_d_0000001.txt
images\train\0000170_01201_d_0000001.jpg,train,labels\train\0000170_01201_d_0000001.txt
images\train\0000171_00001_d_0000001.jpg,train,labels\train\0000171_00001_d_0000001.txt
images\train\0000171_00293_d_0000001.jpg,train,labels\train\0000171_00293_d_0000001.txt
images\train\0000172_00401_d_0000001.jpg,train,labels\train\0000172_00401_d_0000001.txt
images\train\0000172_01484_d_0000001.jpg,train,labels\train\0000172_01484_d_0000001.txt
images\train\0000173_00001_d_0000001.jpg,train,labels\train\0000173_00001_d_0000001.txt
images\train\0000173_00801_d_0000001.jpg,train,labels\train\0000173_00801_d_0000001.txt
images\train\0000173_01180_d_0000001.jpg,train,labels\train\0000173_01180_d_0000001.txt
images\train\0000173_01368_d_0000001.jpg,train,labels\train\0000173_01368_d_0000001.txt
images\train\0000173_01601_d_0000001.jpg,train,labels\train\0000173_01601_d_0000001.txt
images\train\0000173_02001_d_0000001.jpg,train,labels\train\0000173_02001_d_0000001.txt
images\train\0000173_02401_d_0000001.jpg,train,labels\train\0000173_02401_d_0000001.txt
images\train\0000174_00001_d_0000001.jpg,train,labels\train\0000174_00001_d_0000001.txt
images\train\0000174_00401_d_0000001.jpg,train,labels\train\0000174_00401_d_0000001.txt
images\train\0000174_00801_d_0000001.jpg,train,labels\train\0000174_00801_d_0000001.txt
images\train\0000174_01201_d_0000001.jpg,train,labels\train\0000174_01201_d_0000001.txt
images\train\0000174_01601_d_0000001.jpg,train,labels\train\0000174_01601_d_0000001.txt
images\train\0000174_02175_d_0000001.jpg,train,labels\train\0000174_02175_d_0000001.txt
images\train\0000175_00001_d_0000001.jpg,train,labels\train\0000175_00001_d_0000001.txt
images\train\0000175_00432_d_0000001.jpg,train,labels\train\0000175_00432_d_0000001.txt
images\train\0000175_00801_d_0000001.jpg,train,labels\train\0000175_00801_d_0000001.txt
images\train\0000176_00001_d_0000001.jpg,train,labels\train\0000176_00001_d_0000001.txt
images\train\0000176_00401_d_0000001.jpg,train,labels\train\0000176_00401_d_0000001.txt
images\train\0000176_00633_d_0000001.jpg,train,labels\train\0000176_00633_d_0000001.txt
images\train\0000176_00950_d_0000001.jpg,train,labels\train\0000176_00950_d_0000001.txt
images\train\0000177_00374_d_0000003.jpg,train,labels\train\0000177_00374_d_0000003.txt
images\train\0000177_00570_d_0000004.jpg,train,labels\train\0000177_00570_d_0000004.txt
images\train\0000178_00000_d_0000006.jpg,train,labels\train\0000178_00000_d_0000006.txt
images\train\0000178_00393_d_0000008.jpg,train,labels\train\0000178_00393_d_0000008.txt
images\train\0000178_00621_d_0000009.jpg,train,labels\train\0000178_00621_d_0000009.txt
images\train\0000178_01102_d_0000012.jpg,train,labels\train\0000178_01102_d_0000012.txt
images\train\0000179_00149_d_0000014.jpg,train,labels\train\0000179_00149_d_0000014.txt
images\train\0000179_00445_d_0000016.jpg,train,labels\train\0000179_00445_d_0000016.txt
images\train\0000179_00605_d_0000017.jpg,train,labels\train\0000179_00605_d_0000017.txt
images\train\0000179_00743_d_0000018.jpg,train,labels\train\0000179_00743_d_0000018.txt
images\train\0000180_00000_d_0000019.jpg,train,labels\train\0000180_00000_d_0000019.txt
images\train\0000180_00213_d_0000020.jpg,train,labels\train\0000180_00213_d_0000020.txt
images\train\0000180_00400_d_0000021.jpg,train,labels\train\0000180_00400_d_0000021.txt
images\train\0000180_00601_d_0000022.jpg,train,labels\train\0000180_00601_d_0000022.txt
images\train\0000180_00806_d_0000023.jpg,train,labels\train\0000180_00806_d_0000023.txt
images\train\0000180_01002_d_0000024.jpg,train,labels\train\0000180_01002_d_0000024.txt
images\train\0000180_01213_d_0000025.jpg,train,labels\train\0000180_01213_d_0000025.txt
images\train\0000180_01581_d_0000027.jpg,train,labels\train\0000180_01581_d_0000027.txt
images\train\0000181_00000_d_0000028.jpg,train,labels\train\0000181_00000_d_0000028.txt
images\train\0000181_01211_d_0000031.jpg,train,labels\train\0000181_01211_d_0000031.txt
images\train\0000181_01627_d_0000032.jpg,train,labels\train\0000181_01627_d_0000032.txt
images\train\0000181_02410_d_0000034.jpg,train,labels\train\0000181_02410_d_0000034.txt
images\train\0000181_02615_d_0000035.jpg,train,labels\train\0000181_02615_d_0000035.txt
